location_code,name,category,latitude,longitude,description,is_active
balme-library,Balme Library,libraries,5.6518,-0.1871,"The main university library with extensive collections across all disciplines. It provides study spaces, computer labs, and research support services.",1
great-hall,Great Hall,landmarks,5.6507,-0.196,"The iconic Great Hall of University of Legon, used for major ceremonies including graduation and special events. Known for its distinctive architecture.",1
humanities,College of Humanities,departments,5.6537,-0.1822,"Home to departments including English, History, Philosophy, Modern Languages, and the Study of Religions. Offers undergraduate and graduate programs.",1
computer-science,Department of Computer Science,departments,5.6545,-0.1838,"Offers BSc, MSc, and PhD programs in Computer Science. Facilities include computer labs, research centers, and innovation hubs.",1
business-school,University of Ghana Business School,departments,5.6587,-0.1777,"Premier business education institution in West Africa offering undergraduate, graduate, and executive education programs in business administration.",1
geography-dept,Department of Geography and Resource Development,departments,5.651,-0.1832,"Offers undergraduate and graduate programs in Geography, Resource Development, and Environmental Science. The department is known for its research in climate change, urban planning, and sustainable development in Africa.",1
law-school,UG School of Law,departments,5.654,-0.1832,The University of Ghana School of Law serves as the oldest law school in Ghana,1
chemistry-dept,Department of Chemistry,departments,5.6528,-0.1853,"The Department of Chemistry (College of Basic and Applied Sciences) offers BSc, MPhil and PhD programmes in chemistry, with teaching and research laboratories.",1
home-science,Department of Home Science,departments,5.6527,-0.1845,"Teaching facility for Home Science programmes, today organised under the Family and Consumer Sciences programmes of the College of Basic and Applied Sciences.",1
political-science,Department of Political Science,departments,5.6547,-0.1864,The Department of Political Science (College of Humanities) offers undergraduate and graduate programmes in political science and public administration.,1
psychology,Department of Psychology,departments,5.6551,-0.1866,"The Department of Psychology (College of Humanities) trains students in clinical, social, developmental and industrial/organisational psychology.",1
info-studies,Department of Information Studies,departments,5.6552,-0.1871,"The Department of Information Studies (College of Education), formerly Library and Archival Studies, trains professionals in librarianship, archives and records management.",1
animal-biology,Department of Animal Biology,departments,5.6534,-0.1875,"The Department of Animal Biology and Conservation Science (College of Basic and Applied Sciences) focuses on zoology, entomology and wildlife conservation.",1
marine-&-fisheries,Department of Marine and Fisheries Sciences,departments,5.6537,-0.1884,"The Department of Marine and Fisheries Sciences (College of Basic and Applied Sciences) teaches and researches oceanography, fisheries and coastal resource management.",1
education-dept,Department of Educational Studies and Leadership (DESL),departments,5.6528,-0.1812,"The Department of Educational Studies and Leadership (DESL), College of Education, offers programmes in educational administration and leadership.",1
teacher-education,Department of Teacher Education,departments,5.6526,-0.181,The Department of Teacher Education (College of Education) trains teachers and runs the Post-Graduate Diploma in Education programme.,1
inter-prog-office,International Programmes Office,offices,5.6536,-0.1819,"The International Programmes Office handles admissions, exchange programmes and support services for international students at the University of Ghana.",1
jqb,Jones Quartey Building (JQB),lecture-halls,5.6523,-0.1819,"The Jones Quartey Building (JQB) is one of the busiest lecture blocks on campus, hosting large undergraduate classes across many programmes.",1
africa-studies,Institute of African Studies,research,5.6511,-0.1819,"The Institute of African Studies, founded in 1961, is a leading centre for research into African cultures, languages, history, arts and development.",1
adult-edu,Department of Adult Education,departments,5.6515,-0.1811,"The Department of Adult Education and Human Resource Studies (College of Education) runs adult learning, extension and human-resource development programmes.",1
archaeology,Department of Archaeology,departments,5.6518,-0.1813,The Department of Archaeology and Heritage Studies (College of Humanities) is one of the oldest archaeology departments in West Africa and runs its own museum.,1
cont-&-dist-school,School of Continuing and Distance Education,departments,5.6508,-0.1811,The School of Continuing and Distance Education (College of Education) coordinates distance-learning and continuing-education programmes across Ghana.,1
