locationId,name,area,type,notes
L001,Emergency Department,Emergency Block,department,24-hour walk-in and ambulance intake
L002,Outpatient Department,OPD Block,department,General outpatient consulting rooms
L003,Radiology,Diagnostics Block,department,X-ray and imaging reception
L004,Pharmacy,Main Block,department,Main drug dispensary
L005,Laboratory,Diagnostics Block,department,Clinical and pathology laboratory
L006,Theatre,Surgical Block,unit,Main operating theatres
L007,Maternity,Maternity Block,department,Delivery suite and postnatal ward
L008,Antenatal Clinic,Maternity Block,department,Antenatal consulting rooms
L009,Paediatrics,Main Block,department,Children's ward and clinic
L010,Physiotherapy,OPD Block,department,Rehabilitation gym
L011,Dental Clinic,OPD Block,department,Dental surgery
L012,Eye Clinic,OPD Block,department,Ophthalmology consulting
L013,ENT Clinic,OPD Block,department,"Ear, nose and throat clinic"
L014,Dialysis Unit,Main Block,unit,Renal dialysis stations
L015,Blood Bank,Diagnostics Block,unit,Blood storage and cross-matching
L016,Mortuary,Support Services,unit,Body storage and release
L017,Records Office,Administration Block,department,Patient folders and registry
L018,Admissions,Administration Block,department,Inpatient admissions desk
L019,Cashier / Billing,Administration Block,department,Payments and NHIS claims
L020,Intensive Care Unit,Surgical Block,unit,Critical-care monitored beds
L021,Coronary Care Unit,Surgical Block,unit,Cardiac monitoring beds
L022,Burns Unit,Surgical Block,unit,Burns and plastics ward
L023,Oncology,Main Block,department,Cancer treatment clinic
L024,Chemotherapy Suite,Main Block,unit,Day chemotherapy chairs
L025,Endoscopy,Diagnostics Block,unit,Endoscopy suite
L026,Ultrasound,Diagnostics Block,unit,Ultrasound scanning rooms
L027,CT Scan Suite,Diagnostics Block,unit,Computed-tomography suite
L028,MRI Suite,Diagnostics Block,unit,Magnetic-resonance imaging suite
L029,Central Sterile Supply,Support Services,unit,Instrument sterilisation
L030,Kitchen / Catering,Support Services,department,Patient and staff meals
L031,Laundry,Support Services,department,Linen washing and distribution
L032,Chapel,Support Services,department,Multi-faith prayer room
L033,Staff Canteen,Support Services,department,Staff dining
L034,Pharmacy Store,Support Services,unit,Bulk drug storage
L035,Oxygen Plant,Support Services,unit,Medical oxygen generation
L036,Generator House,Support Services,unit,Backup power supply
L037,Male Medical Ward 1,Maternity Block,ward,35-bed inpatient ward
L038,Female Medical Ward 1,Surgical Block,ward,19-bed inpatient ward
L039,Paediatric Ward 1,Main Block,ward,27-bed inpatient ward
L040,Surgical Ward 1,Main Block,ward,28-bed inpatient ward
L041,Maternity Ward 1,Emergency Block,ward,30-bed inpatient ward
L042,Recovery Bay 1,Main Block,ward,15-bed inpatient ward
L043,Isolation Room 1,Emergency Block,ward,12-bed inpatient ward
L044,Amenity Ward 1,Maternity Block,ward,31-bed inpatient ward
L045,Male Medical Ward 2,Surgical Block,ward,21-bed inpatient ward
L046,Female Medical Ward 2,Maternity Block,ward,27-bed inpatient ward
L047,Paediatric Ward 2,Maternity Block,ward,31-bed inpatient ward
L048,Surgical Ward 2,Emergency Block,ward,14-bed inpatient ward
L049,Maternity Ward 2,Surgical Block,ward,27-bed inpatient ward
L050,Recovery Bay 2,Maternity Block,ward,21-bed inpatient ward
L051,Isolation Room 2,Surgical Block,ward,14-bed inpatient ward
L052,Amenity Ward 2,Surgical Block,ward,33-bed inpatient ward
L053,Male Medical Ward 3,Main Block,ward,14-bed inpatient ward
L054,Female Medical Ward 3,Maternity Block,ward,12-bed inpatient ward
L055,Paediatric Ward 3,Main Block,ward,26-bed inpatient ward
L056,Surgical Ward 3,Maternity Block,ward,32-bed inpatient ward
L057,Maternity Ward 3,Emergency Block,ward,12-bed inpatient ward
L058,Recovery Bay 3,Emergency Block,ward,27-bed inpatient ward
L059,Isolation Room 3,Maternity Block,ward,27-bed inpatient ward
L060,Amenity Ward 3,Surgical Block,ward,15-bed inpatient ward
